USR_ID, Original sentence, generated sentence, HIndi generated sentence, masked hindi sentence
1,Apa kahAz rahawe hEM?,Apa #kahAz meM rahawA hE,आप #कहाँ में रहता है,आप #कहाँ <> रहता है
2,aXyApaka aBI Aye hEM.,aXyApaka aBI AyA hE,अध्यापक अभी आया है,अध्यापक अभी आया है
3,baccA agaswa meM Pala KAwA hE.,baccA agaswa ko Pala KAwA hE,बच्चा अगस्त को फल खाता है,बच्चा अगस्त <> फल <> खाता है
4,bacce janavarI meM Pala KAwe hEM.,bacce janavarI ko Pala KAwe hEM,बच्चे जनवरी को फल खाते हैं,बच्चे जनवरी <> फल <> खाते हैं
5,baccA kya kAwA hE?,baccA kyA KAwA hE,बच्चा क्या खाता है,बच्चा क्या खाता है
6,bacce maMgalavAra ko Pala KAwe hEM.,bacce maMgalavAra ko Pala KAwe hEM,बच्चे मंगलवार को फल खाते हैं,बच्चे मंगलवार <> फल <> खाते हैं
7,bacce Pala KAwe hEM.,bacce Pala KAwe hEM,बच्चे फल खाते हैं,बच्चे फल <> खाते हैं
8,bacce somavAra ko Pala KAwe hEM.,bacce somavAra ko Pala KAwe hEM,बच्चे सोमवार को फल खाते हैं,बच्चे सोमवार <> फल <> खाते हैं
9,rAma rojZa eka seba KAwA hE.,rAma roja eka seba KAwA hE,राम रोज एक सेब खाता है,राम रोज एक सेब <> खाता है
10,betoM ne Kewa meM bIja bo xiyA.,betoM ne Kewa meM bIja boyA,बेटों ने खेत में बीज बोया,बेटों <> खेत <> बीज <> बोया
11,gAyeM GAsa KAwIM hEM.,gAyeM GAsa KAwIM hEM,गायें घास खातीं हैं,गायें घास <> खातीं हैं
12,jAnavara saBA meM Aye.,jAnavara ne saBA Ae,जानवर ने सभा आए,जानवर <> सभा आए
13,John kA betA vixyAlaya meM paDawA hE,#John kA betA vixyAlaya meM paDawA hE,#झोह्न् का बेटा विद्यालय में पढता है,#झोह्न् <> बेटा विद्यालय <> पढता है
14,kyA Apa jA rahe hEM?,kyA Apa jA rahA hE?,क्या आप जा रहा है?,आप जा रहा है
15,kyA rAma jA rahA hE?,kyA rAma jA rahA hE?,क्या राम जा रहा है?,राम जा रहा है
16,ladakA bagIce meM nayI kiwAba paDa rahA hE.,ladakA bagIce meM nayI kiwAba paDa rahA hE,लडका बगीचे में नयी किताब पढ रहा है,लडका बगीचे <> नयी किताब <> पढ रहा है
17,ladakA calacciwra xeKa rahA hE.,ladakA #calacciwra xeKa rahA hE,लडका #चलच्चित्र देख रहा है,लडका #चलच्चित्र <> देख रहा है
18,ladakA kiwAba paDa rahA hE.,ladakA kiwAba paDa rahA hE,लडका किताब पढ रहा है,लडका किताब <> पढ रहा है
19,ladakA kiwAbeM paDa rahA hE.,ladakA kiwAbeM paDa rahA hE,लडका किताबें पढ रहा है,लडका किताबें <> पढ रहा है
20,mohana rAma ko apane Gara bulAwA hE.,mohana rAma ko #apanA Gara bulAwA hE,मोहन राम को #अपना घर बुलाता है,मोहन राम <> #अपना घर बुलाता है
21,rAma ne mohana ko nIlI kiwAba xI.,rAma ne mohana ko nIlI kiwAba xI,राम ने मोहन को नीली किताब दी,राम <> मोहन <> नीली किताब <> दी
22,rAma bETA hE.,rAma bETA hE,राम बैठा है,राम बैठा है
23,mohana rAma ko apane vixyAlaya bulAwA hE.,mohana rAma ko #apanA vixyAlaya bulAwA hE,मोहन राम को #अपना विद्यालय बुलाता है,मोहन राम <> #अपना विद्यालय बुलाता है
24,ladake ke liye jaMgala se Pala lAo!,ladake ke lie jaMgala se Pala lAo, लडके के लिए जंगल से फल लाओ,लडके <> <> जंगल <> फल <> लाओ
25,ladake ne KAnA nahIM KAyA.,ladake ne KAnA nahIM KAyA,लडके ने खाना नहीं खाया,लडके <> खाना <> नहीं खाया
27,mEca kisane jIwA?,mEca kisane jIwA,मैच किसने जीता,मैच <> किसने जीता
28,rAma ko xuHKa hE.,rAma ko xuHKa hE,राम को दुःख है,राम <> दुःख है
29,mEM A rahA hUz.,mEM A rahA hUz,मैं आ रहा हूँ,मैं आ रहा हूँ
30,rAma xuHKI hE. ,rAma #xuHKI hE,राम #दुःखी है,राम #दुःखी है
31,mEM john ke lie Sahara se AyA.,mEM #John ke lie Sahara se AyA,मैं #झोह्न् के लिए शहर से आया,मैं #झोह्न् <> <> शहर <> आया
32,mAz ne rAma se bacce ko KAnA KilavAyA.,mAz rAma baccA ko KAnA #KAyA,माँ राम बच्चा को खाना #खाया,माँ राम बच्चा <> खाना <> #खाया
33,mEM kala AyA.,mEM kala ko AI,मैं कल को आई,मैं कल <> आई
34,mEM kiwAbeM paDa rahA hUz.,mEM kiwAbeM paDa rahA hUz,मैं किताबें पढ रहा हूँ,मैं किताबें <> पढ रहा हूँ
35,mEM ladake ke lie Sahara se AyA.,mEM ladake ke lie Sahara se AyA,मैं लडके के लिए शहर से आया,मैं लडके <> <> शहर <> आया
36,mEMne acCA Pala KAyA.,mEMne acCA Pala KAyA,मैंने अच्छा फल खाया,मैंने अच्छा फल <> खाया
37,mEMne acCI kiwAba paDI hE.,mEMne acCI kiwAba paDI hE,मैंने अच्छी किताब पढी है,मैंने अच्छी किताब <> पढी है
